day,hour,value
01,00,61385
01,01,61688
01,02,63493
01,03,76134
01,04,107163
01,05,137800
01,06,153831
01,07,155254
01,08,154723
01,09,153667
01,10,155179
01,11,150775
01,12,143605
01,13,142133
01,14,145358
01,15,146083
01,16,145490
01,17,136508
01,18,120148
01,19,107472
01,20,95283
01,21,86502
01,22,78462
01,23,71538
02,00,66431
02,01,65942
02,02,66580
02,03,79923
02,04,113126
02,05,143830
02,06,158362
02,07,161315
02,08,162182
02,09,161304
02,10,164962
02,11,158986
02,12,148949
02,13,147634
02,14,150362
02,15,150761
02,16,150514
02,17,138448
02,18,117478
02,19,104400
02,20,96379
02,21,87385
02,22,79112
02,23,71739
03,00,67602
03,01,66292
03,02,68407
03,03,80909
03,04,115112
03,05,144685
03,06,159040
03,07,163616
03,08,159874
03,09,159036
03,10,159969
03,11,152211
03,12,145941
03,13,143789
03,14,147206
03,15,147639
03,16,145869
03,17,133786
03,18,117427
03,19,103545
03,20,93211
03,21,85704
03,22,77929
03,23,69553
04,00,64693
04,01,63493
04,02,64405
04,03,79682
04,04,115338
04,05,142415
04,06,153959
04,07,157133
04,08,154393
04,09,154697
04,10,155172
04,11,150480
04,12,146059
04,13,143951
04,14,146170
04,15,149160
04,16,147506
04,17,134896
04,18,115472
04,19,104148
04,20,96119
04,21,91400
04,22,81867
04,23,74375
05,00,70575
05,01,70322
05,02,73943
05,03,86243
05,04,120581
05,05,151528
05,06,165749
05,07,173990
05,08,173676
05,09,173075
05,10,165414
05,11,153673
05,12,140647
05,13,135390
05,14,136745
05,15,138238
05,16,137284
05,17,130913
05,18,114226
05,19,95354
05,20,84193
05,21,79918
05,22,72999
05,23,66729
06,00,61787
06,01,60035
06,02,56176
06,03,59593
06,04,72154
06,05,104083
06,06,147426
06,07,170896
06,08,172635
06,09,169797
06,10,166477
06,11,155309
06,12,145778
06,13,142668
06,14,149815
06,15,146079
06,16,141082
06,17,129818
06,18,116367
06,19,105499
06,20,114804
06,21,113575
06,22,76943
06,23,71768
07,00,67148
07,01,64053
07,02,63478
07,03,64924
07,04,71125
07,05,95096
07,06,132178
07,07,160288
07,08,168446
07,09,162398
07,10,154325
07,11,143875
07,12,131829
07,13,124394
07,14,123412
07,15,127021
07,16,126868
07,17,117475
07,18,105261
07,19,93059
07,20,85355
07,21,78972
07,22,72251
07,23,63926
08,00,58152
08,01,57725
08,02,60353
08,03,75355
08,04,112081
08,05,140256
08,06,154225
08,07,157073
08,08,157328
08,09,164305
08,10,164278
08,11,156470
08,12,150326
08,13,149077
08,14,149139
08,15,148484
08,16,149143
08,17,139131
08,18,120803
08,19,106008
08,20,96926
08,21,89505
08,22,84343
08,23,76607
09,00,71240
09,01,68926
09,02,68347
09,03,82315
09,04,118627
09,05,146665
09,06,157496
09,07,160260
09,08,157114
09,09,158509
09,10,160952
09,11,155998
09,12,147764
09,13,145575
09,14,146808
09,15,150003
09,16,150035
09,17,137552
09,18,118531
09,19,103143
09,20,94678
09,21,87749
09,22,78945
09,23,71616
10,00,68489
10,01,66219
10,02,68717
10,03,82465
10,04,119372
10,05,150966
10,06,167282
10,07,168975
10,08,165532
10,09,165183
10,10,167802
10,11,160743
10,12,153114
10,13,151770
10,14,154918
10,15,156398
10,16,152635
10,17,141319
10,18,121547
10,19,107537
10,20,99619
10,21,89656
10,22,80424
10,23,73044
11,00,68896
11,01,67050
11,02,68117
11,03,81101
11,04,117667
11,05,148218
11,06,161296
11,07,165518
11,08,161642
11,09,161618
11,10,163500
11,11,156469
11,12,150205
11,13,148949
11,14,151868
11,15,152934
11,16,151033
11,17,136456
11,18,116895
11,19,103410
11,20,95661
11,21,87895
11,22,79221
11,23,71127
12,00,66600
12,01,65566
12,02,67127
12,03,80441
12,04,115991
12,05,145223
12,06,164126
12,07,170676
12,08,164971
12,09,165288
12,10,165997
12,11,159560
12,12,154582
12,13,151138
12,14,150337
12,15,151560
12,16,149214
12,17,136455
12,18,118502
12,19,107127
12,20,88766
12,21,47990
12,22,52402
12,23,50571
13,00,47720
13,01,48586
13,02,51697
13,03,56459
13,04,70323
13,05,102970
13,06,147418
13,07,174462
13,08,178523
13,09,172773
13,10,163708
13,11,151571
13,12,142852
13,13,138142
13,14,137156
13,15,136391
13,16,134850
13,17,128665
13,18,115644
13,19,102205
13,20,92918
13,21,83643
13,22,73238
13,23,65414
14,00,61165
14,01,57418
14,02,56001
14,03,58221
14,04,67269
14,05,88849
14,06,125657
14,07,152118
14,08,158852
14,09,153398
14,10,147271
14,11,133464
14,12,124769
14,13,120027
14,14,118551
14,15,120321
14,16,123147
14,17,116967
14,18,103993
14,19,91968
14,20,82678
14,21,75933
14,22,67905
14,23,63073
15,00,59753
15,01,58508
15,02,62101
15,03,74203
15,04,105766
15,05,132362
15,06,148438
15,07,155010
15,08,153252
15,09,156941
15,10,162114
15,11,153633
15,12,144232
15,13,141257
15,14,140020
15,15,142138
15,16,144384
15,17,136321
15,18,118968
15,19,104853
15,20,95210
15,21,87376
15,22,80242
15,23,75712
16,00,72058
16,01,70010
16,02,68254
16,03,81940
16,04,120109
16,05,151104
16,06,159664
16,07,158084
16,08,153718
16,09,153101
16,10,156056
16,11,149705
16,12,146351
16,13,139006
16,14,139514
16,15,141462
16,16,141853
16,17,131956
16,18,116347
16,19,102075
16,20,92026
16,21,84136
16,22,75558
16,23,69062
17,00,64513
17,01,64187
17,02,67318
17,03,82888
17,04,122389
17,05,154862
17,06,164917
17,07,164196
17,08,157558
17,09,152817
17,10,155718
17,11,150194
17,12,144267
17,13,142424
17,14,145470
17,15,146120
17,16,145734
17,17,136430
17,18,121868
17,19,105907
17,20,94091
17,21,86568
17,22,77685
17,23,70691
18,00,67668
18,01,63906
18,02,65191
18,03,79648
18,04,117997
18,05,148938
18,06,159200
18,07,159091
18,08,154601
18,09,155381
18,10,158920
18,11,150640
18,12,146855
18,13,143766
18,14,144454
18,15,147763
18,16,145340
18,17,132718
18,18,114176
18,19,102303
18,20,93050
18,21,84809
18,22,79293
18,23,76400
19,00,67612
19,01,66808
19,02,65957
19,03,79334
19,04,115222
19,05,149531
19,06,166384
19,07,164502
19,08,158887
19,09,157796
19,10,161369
19,11,154798
19,12,147156
19,13,146394
19,14,148383
19,15,147773
19,16,145587
19,17,134621
19,18,168140
19,19,107792
19,20,96010
19,21,87400
19,22,79701
19,23,74249
20,00,69623
20,01,66487
20,02,67177
20,03,72833
20,04,85074
20,05,116357
20,06,161297
20,07,185068
20,08,181917
20,09,176342
20,10,172383
20,11,165226
20,12,154957
20,13,148885
20,14,148915
20,15,146118
20,16,149365
20,17,142902
20,18,129859
20,19,115653
20,20,104291
20,21,98026
20,22,91315
20,23,76877
21,00,72243
21,01,69307
21,02,68103
21,03,70060
21,04,77053
21,05,103412
21,06,230536
21,07,273779
21,08,274721
21,09,275153
21,10,259842
21,11,246650
21,12,231486
21,13,206840
21,14,216336
21,15,208455
21,16,218912
21,17,215350
21,18,189823
21,19,187638
21,20,171053
21,21,160890
21,22,174336
21,23,65705
22,00,59259
22,01,58146
22,02,60858
22,03,77075
22,04,117708
22,05,150412
22,06,160465
22,07,160767
22,08,156859
22,09,158390
22,10,161327
22,11,155716
22,12,148586
22,13,147574
22,14,150886
22,15,154736
