day,hour,value
01,00,89758
01,01,91211
01,02,94109
01,03,98880
01,04,110828
01,05,142346
01,06,161247
01,07,189603
01,08,198847
01,09,192045
01,10,179591
01,11,166313
01,12,145924
01,13,138159
01,14,141354
01,15,143631
01,16,142162
01,17,130714
01,18,110783
01,19,95606
01,20,89164
01,21,83794
01,22,76345
01,23,70171
02,00,67230
02,01,65583
02,02,68716
02,03,86645
02,04,141555
02,05,176392
02,06,173814
02,07,168359
02,08,163726
02,09,165687
02,10,169274
02,11,162929
02,12,154883
02,13,153937
02,14,156855
02,15,159334
02,16,160642
02,17,147298
02,18,125080
02,19,110219
02,20,100301
02,21,92160
02,22,82952
02,23,78052
03,00,77399
03,01,74475
03,02,74502
03,03,93494
03,04,149887
03,05,186641
03,06,182029
03,07,174000
03,08,165869
03,09,167891
03,10,173564
03,11,167245
03,12,159554
03,13,158443
03,14,160783
03,15,164639
03,16,160264
03,17,145783
03,18,120274
03,19,103586
03,20,95332
03,21,91056
03,22,79428
03,23,71259
04,00,67190
04,01,65985
04,02,67708
04,03,86491
04,04,140942
04,05,177926
04,06,176966
04,07,169311
04,08,160768
04,09,162558
04,10,166059
04,11,160140
04,12,152641
04,13,152431
04,14,154155
04,15,156177
04,16,158806
04,17,146749
04,18,126900
04,19,110645
04,20,101172
04,21,93320
04,22,84033
04,23,76134
05,00,71197
05,01,69753
05,02,70647
05,03,74903
05,04,93106
05,05,129013
05,06,178395
05,07,204875
05,08,203736
05,09,193674
05,10,182607
05,11,165770
05,12,154106
05,13,148553
05,14,149465
05,15,153452
05,16,156985
05,17,147167
05,18,127137
05,19,111111
05,20,98540
05,21,90771
05,22,82768
05,23,74798
06,00,70707
06,01,68704
06,02,69799
06,03,78996
06,04,109456
06,05,147932
06,06,177200
06,07,181352
06,08,172773
06,09,168897
06,10,170976
06,11,165220
06,12,157299
06,13,153391
06,14,154869
06,15,156219
06,16,157047
06,17,147999
06,18,129348
06,19,113346
06,20,101391
06,21,93353
06,22,84716
06,23,77629
07,00,73015
07,01,72314
07,02,72976
07,03,76863
07,04,89124
07,05,126280
07,06,170757
07,07,191762
07,08,186776
07,09,178174
07,10,171431
07,11,163385
07,12,157590
07,13,159863
07,14,162676
07,15,160659
07,16,156815
07,17,148207
07,18,132078
07,19,119409
07,20,105253
07,21,94818
07,22,84210
07,23,78702
08,00,73652
08,01,66239
08,02,63122
08,03,65451
08,04,73625
08,05,102385
08,06,147501
08,07,178979
08,08,185361
08,09,178904
08,10,168929
08,11,152176
08,12,142179
08,13,136434
08,14,138270
08,15,143131
08,16,149527
08,17,142493
08,18,117596
08,19,100853
08,20,93435
08,21,88398
08,22,85642
08,23,79491
09,00,77405
09,01,77815
09,02,81513
09,03,101320
09,04,155800
09,05,191349
09,06,192123
09,07,185926
09,08,178806
09,09,184172
09,10,193682
09,11,191871
09,12,187709
09,13,188785
09,14,193269
09,15,198376
09,16,198325
09,17,187638
09,18,166357
09,19,155584
09,20,147504
09,21,138735
09,22,91102
09,23,72243
10,00,69239
10,01,67973
10,02,70646
10,03,89370
10,04,143607
10,05,180943
10,06,177855
10,07,168547
10,08,163027
10,09,163316
10,10,168983
10,11,163618
10,12,159186
10,13,158792
10,14,163689
10,15,166510
10,16,165669
10,17,153192
10,18,133623
10,19,116514
10,20,106065
10,21,98662
10,22,87510
10,23,78863
11,00,73360
11,01,72300
11,02,75190
11,03,93653
11,04,147259
11,05,186410
11,06,185891
11,07,174376
11,08,163872
11,09,163321
11,10,168392
11,11,163483
11,12,155989
11,13,155879
11,14,157831
11,15,159303
11,16,161487
11,17,175565
11,18,156643
11,19,138870
11,20,131881
11,21,124409
11,22,113912
11,23,74083
12,00,67686
12,01,67763
12,02,71723
12,03,90882
12,04,145860
12,05,183735
12,06,181895
12,07,173676
12,08,164442
12,09,166248
12,10,171703
12,11,165255
12,12,157943
12,13,158624
12,14,163244
12,15,164337
12,16,161498
12,17,151272
12,18,129068
12,19,112918
12,20,101290
12,21,94382
12,22,85602
12,23,77890
13,00,70522
13,01,68601
13,02,71442
13,03,89400
13,04,141891
13,05,181791
13,06,182962
13,07,177819
13,08,172045
13,09,171800
13,10,176541
13,11,171511
13,12,162656
13,13,159037
13,14,163359
13,15,163338
13,16,160398
13,17,148215
13,18,125954
13,19,111507
13,20,102092
13,21,94019
13,22,83089
13,23,75050
14,00,69447
14,01,70088
14,02,72655
14,03,77611
14,04,90352
14,05,128314
14,06,181455
14,07,209775
