day,hour,value
01,00,128458
01,01,120448
01,02,110084
01,03,105906
01,04,122789
01,05,176180
01,06,209425
01,07,204636
01,08,198249
01,09,192414
01,10,191349
01,11,199963
01,12,200098
01,13,202632
01,14,211193
01,15,228277
01,16,238865
01,17,237815
01,18,211491
01,19,189964
01,20,173254
01,21,162914
01,22,153247
01,23,140075
02,00,127157
02,01,118436
02,02,109988
02,03,107937
02,04,121587
02,05,173112
02,06,208290
02,07,211927
02,08,206723
02,09,200980
02,10,202485
02,11,208208
02,12,205944
02,13,207057
02,14,215612
02,15,232416
02,16,245117
02,17,242052
02,18,222084
02,19,193056
02,20,179074
02,21,168354
02,22,159122
02,23,146252
03,00,129954
03,01,119053
03,02,111428
03,03,105008
03,04,105716
03,05,115331
03,06,148723
03,07,204673
03,08,251225
03,09,245641
03,10,234392
03,11,228042
03,12,218500
03,13,213668
03,14,215644
03,15,226122
03,16,236299
03,17,231414
03,18,215164
03,19,192027
03,20,177847
03,21,172861
03,22,160976
03,23,146727
04,00,134420
04,01,122431
04,02,113301
04,03,106670
04,04,102785
04,05,107081
04,06,125769
04,07,176201
04,08,225137
04,09,241776
04,10,236283
04,11,223771
04,12,205893
04,13,194750
04,14,193367
04,15,202997
04,16,215614
04,17,216838
04,18,202187
04,19,173542
04,20,160862
04,21,152691
04,22,148029
04,23,135232
05,00,125091
05,01,115136
05,02,106959
05,03,102881
05,04,115887
05,05,169224
05,06,203045
05,07,199671
05,08,196534
05,09,194363
05,10,196743
05,11,202193
05,12,198355
05,13,199306
05,14,210989
05,15,229143
05,16,242888
05,17,240729
05,18,219901
05,19,195656
05,20,175776
05,21,164202
05,22,154124
05,23,140470
06,00,125359
06,01,116579
06,02,110516
06,03,108300
06,04,120093
06,05,172829
06,06,203845
06,07,202250
06,08,196509
06,09,188940
06,10,188305
06,11,193933
06,12,192595
06,13,194246
06,14,203921
06,15,219074
06,16,233603
06,17,234783
06,18,219108
06,19,194010
06,20,178127
06,21,171320
06,22,158259
06,23,141807
07,00,130037
07,01,119923
07,02,113506
07,03,109578
07,04,122903
07,05,185580
07,06,215484
07,07,203017
07,08,187992
07,09,182905
07,10,183801
07,11,189663
07,12,188523
07,13,192615
07,14,202860
07,15,221153
07,16,231554
07,17,230829
07,18,212644
07,19,184964
07,20,169228
07,21,162180
07,22,152898
07,23,139866
08,00,127193
08,01,116825
08,02,109846
08,03,105682
08,04,118444
08,05,169914
08,06,199652
08,07,197945
08,08,199144
08,09,194397
08,10,193760
08,11,200478
08,12,198661
08,13,198561
08,14,213179
08,15,227770
08,16,239743
08,17,241367
08,18,223433
08,19,198302
08,20,183700
08,21,169764
08,22,159545
08,23,147689
09,00,133751
09,01,119330
