day,hour,value
01,00,4945
01,01,4616
01,02,4475
01,03,4946
01,04,6269
01,05,10170
01,06,15553
01,07,18743
01,08,18667
01,09,17301
01,10,16149
01,11,14275
01,12,12397
01,13,11578
01,14,11733
01,15,12343
01,16,12959
01,17,11993
01,18,9930
01,19,8318
01,20,7923
01,21,7075
01,22,5984
01,23,5201
02,00,4621
02,01,4528
02,02,5158
02,03,8553
02,04,16015
02,05,19394
02,06,17464
02,07,15117
02,08,13993
02,09,13943
02,10,14745
02,11,14075
02,12,12901
02,13,12490
02,14,12915
02,15,13750
02,16,14386
02,17,13303
02,18,11162
02,19,9310
02,20,8567
02,21,7638
02,22,6368
02,23,5231
03,00,4804
03,01,4669
03,02,5391
03,03,8720
03,04,16353
03,05,19851
03,06,17782
03,07,15366
03,08,13817
03,09,13950
03,10,14899
03,11,14227
03,12,13116
03,13,12905
03,14,13358
03,15,14171
03,16,14706
03,17,13396
03,18,11007
03,19,8983
03,20,8494
03,21,7778
03,22,6551
03,23,5450
04,00,4842
04,01,4719
04,02,5284
04,03,8618
04,04,16060
04,05,19650
04,06,17980
04,07,15481
04,08,13786
04,09,13697
04,10,14576
04,11,14039
04,12,13003
04,13,12683
04,14,12969
04,15,13649
04,16,14379
04,17,13221
04,18,11292
04,19,9187
04,20,8512
04,21,7990
04,22,6768
04,23,5558
05,00,4957
05,01,4711
05,02,4871
05,03,5719
05,04,8172
05,05,12919
05,06,18172
05,07,19751
05,08,18430
05,09,16997
05,10,16087
05,11,14710
05,12,13158
05,13,12300
05,14,12180
05,15,12533
05,16,12886
05,17,12314
05,18,10483
05,19,8871
05,20,8184
05,21,7522
05,22,6341
05,23,5306
06,00,4832
06,01,4717
06,02,4985
06,03,6649
06,04,10876
06,05,15502
06,06,17857
06,07,17130
06,08,15256
06,09,14468
06,10,14827
06,11,14085
06,12,13073
06,13,12617
06,14,12623
06,15,12996
06,16,13308
06,17,12452
06,18,10695
06,19,9073
06,20,8191
06,21,7507
06,22,6469
06,23,5490
07,00,4867
07,01,4605
07,02,4695
07,03,5263
07,04,7420
07,05,12306
07,06,17031
07,07,18252
07,08,16742
07,09,15523
07,10,14579
07,11,13512
07,12,12593
07,13,12428
07,14,12339
07,15,12718
07,16,12832
07,17,11993
07,18,10403
07,19,8859
07,20,7922
07,21,7186
07,22,6126
07,23,5208
08,00,4701
08,01,4413
08,02,4295
08,03,4656
08,04,6033
08,05,9838
08,06,14875
08,07,17240
08,08,16716
08,09,15366
08,10,14382
08,11,12942
08,12,11823
08,13,11148
08,14,11229
08,15,11583
08,16,12209
08,17,11669
08,18,9950
08,19,8488
08,20,7944
08,21,6960
08,22,5839
08,23,4891
09,00,4577
09,01,4471
09,02,5126
09,03,8437
09,04,15829
09,05,19197
09,06,17246
09,07,14853
09,08,13292
09,09,13207
09,10,14075
09,11,13391
09,12,12430
09,13,12173
09,14,12611
09,15,13439
09,16,14015
09,17,13062
09,18,10969
09,19,9290
09,20,8483
09,21,7566
09,22,6337
09,23,5228
10,00,4825
10,01,4677
10,02,5231
10,03,8649
10,04,16099
10,05,19861
10,06,17685
10,07,14956
10,08,13223
10,09,13275
10,10,14230
10,11,13701
10,12,12556
10,13,12300
10,14,12730
10,15,13550
10,16,14119
10,17,13063
10,18,11078
10,19,9343
10,20,8563
10,21,7583
10,22,6419
10,23,5322
11,00,4826
11,01,4775
11,02,5299
11,03,8609
11,04,16098
11,05,19669
11,06,17818
11,07,15241
11,08,13466
11,09,13464
11,10,14401
11,11,13771
11,12,12718
11,13,12416
11,14,12739
11,15,13479
11,16,14008
11,17,13019
11,18,11042
11,19,9406
11,20,8677
11,21,7663
11,22,6320
11,23,5286
12,00,4741
12,01,4687
12,02,5290
12,03,8587
12,04,16053
12,05,19693
12,06,17858
12,07,15328
12,08,13464
12,09,13442
12,10,14370
12,11,13738
12,12,12911
12,13,12524
12,14,13050
12,15,13814
12,16,14302
12,17,13319
12,18,11026
12,19,9275
12,20,8573
12,21,7667
12,22,6448
12,23,5372
13,00,4856
13,01,4732
13,02,5238
13,03,8465
13,04,15695
13,05,19569
13,06,18118
13,07,15904
13,08,14407
13,09,14108
13,10,14960
13,11,14301
13,12,13309
13,13,12856
13,14,13184
13,15,13932
13,16,14101
13,17,12951
13,18,10671
13,19,8880
13,20,8124
13,21,7679
13,22,6539
13,23,5423
14,00,4855
14,01,4679
14,02,4686
14,03,5333
14,04,7520
14,05,12502
14,06,17799
14,07,19544
14,08,18369
14,09,16980
14,10,16494
14,11,15099
14,12,13838
14,13,13272
14,14,13145
14,15,13539
14,16,13442
14,17,12371
14,18,10310
14,19,8095
14,20,7394
14,21,6942
14,22,6391
14,23,5568
15,00,4852
15,01,4592
15,02,4496
15,03,4856
15,04,6166
15,05,9694
15,06,14812
15,07,17814
15,08,17966
15,09,16864
15,10,15771
15,11,14034
15,12,12325
15,13,11446
15,14,11457
15,15,11771
15,16,12162
15,17,11376
15,18,9602
15,19,8132
15,20,7658
15,21,7155
15,22,6251
15,23,5294
16,00,4729
16,01,4490
16,02,4700
16,03,5532
16,04,7871
16,05,11326
16,06,15791
16,07,18278
16,08,17992
16,09,17219
16,10,16705
16,11,15207
16,12,13551
16,13,12700
16,14,12509
