Country,transaction
Germany,53392122
United States of America,25888520
France,21342676
Netherlands,17134234
United Kingdom,16438501
Canada,14388470
Switzerland,12986658
Greece,7376260
Sweden,6609164
Belgium,4827259
South Africa,3911438
Denmark,2732353
Mexico,2364708
Austria,1935945
Spain,1865840
Norway,1643834
New Zealand,1610357
Italy,1599627
Australia,1120182
Finland,717452
Poland,561803
Ireland,493259
Luxembourg,484916
Russia,319870
Philippines,202495
Japan,145792
Singapore,114286
Hong Kong,113276
Czech republic,108756
Taiwan,106264
Hungary,105128
Liechtenstein,104199
Brazil,103272
Chile,89049
Israel,88872
Romania,81475
Colombia,72411
Ukraine,70600
Thailand,69603
Faroe Islands,69013
Turkey,67436
Portugal,63697
Serbia,60978
Slovenia,55102
Slovak Republic,46757
Croatia,41910
,41094
Belarus,38912
India,37445
Estonia,35543
Argentina,35348
Curacao,35090
Bosnia and Herzegovina,32636
Puerto Rico,31816
Morocco,29772
Cyprus,27624
Republic of Lithuania,26829
Iceland,25791
China,25334
Angola,23644
Tunisia,22790
Bermuda,22782
United Arab Emirates,22458
Malaysia,21111
Malta,20815
Indonesia,19078
not found,18745
Pakistan,18678
Republic of Korea,15130
Peru,14761
Vietnam,14657
Finland,13965
Latvia,13802
Brunei,13634
Ecuador,12767
Bulgaria,12199
Saudi Arabia,11716
Haiti,11654
Venezuela,11638
France,11418
Qatar,11404
Albania,10991
Algeria,10297
Dominican Republic,10225
French Polynesia,9672
Costa Rica,9442
Republic of Moldova,8603
Uruguay,8593
Kenya,8544
Barbados,8452
Netherlands,8081
Panama,7788
Mauritius,7712
Paraguay,7490
Saint Lucia,6220
New Caledonia,5771
Gabon,5117
Kazakhstan,4783
Grenada,4409
Jersey,4304
Belize,4292
Guatemala,4136
France,3921
Egypt,3920
Trinidad and Tobago,3798
Tanzania,3651
Namibia,3548
Rwanda,3507
Zimbabwe,3478
Oman,3471
Isle of Man,2973
Nigeria,2926
Jamaica,2861
France,2834
Saint Martin,2833
Bolivia,2831
French Guiana,2775
British Virgin Islands,2732
United Kingdom,2618
Mali,2466
Kuwait,2408
Montenegro,2304
Saint Pierre and Miquelon,2278
Hashemite Kingdom of Jordan,2241
El Salvador,2117
Greenland,1989
Guernsey,1878
Laos,1841
Guyana,1782
Ghana,1755
Suriname,1687
Congo,1672
Bangladesh,1616
Cayman Islands,1600
Djibouti,1559
Cambodia,1552
Republic of the Congo,1462
Saint Kitts and Nevis,1449
Senegal,1423
United States of America,1323
Ivory Coast,1256
Monaco,1157
Fiji,1093
Saint Vincent and the Grenadines,1073
Libya,1023
France,1019
Zambia,1005
Cameroon,1004
Nepal,829
Lebanon,822
Palestine,798
Uzbekistan,793
Bahamas,789
Burkina Faso,726
Ethiopia,694
Macedonia,682
Botswana,577
Antigua and Barbuda,565
Liberia,469
Mozambique,398
Azerbaijan,375
Benin,231
Syria,167
France,134
Marshall Islands,131
Macao,124
Andorra,83
Anguilla,65
Sri Lanka,63
Bahrain,39
Central African Republic,29
Iraq,29
Niger,12
San Marino,4
Aruba,3
Montserrat,3
Wallis and Futuna,2
Seychelles,2
Honduras,1
Nicaragua,1
Kyrgyzstan,1
