Country,transaction
United States of America,38467610
Germany,31205165
Switzerland,12672367
Netherlands,8298771
Sweden,6562917
France,5174270
Belgium,3367615
United Kingdom,3118611
Canada,2183852
Norway,1797139
Austria,1398479
Australia,909441
Denmark,813707
Poland,691535
Finland,621113
Spain,556271
Italy,545809
Luxembourg,502456
Ireland,473935
New Zealand,392589
Russia,310228
Singapore,118047
Hong Kong,108621
Brazil,105790
Hungary,105012
Mexico,96840
Liechtenstein,96366
Greece,94390
Japan,93017
Czechia,92018
Romania,91805
Faroe Islands,76225
Israel,74115
Turkey,73495
Slovenia,71219
South Africa,70258
Portugal,66516
Thailand,62502
Serbia,56978
Ukraine,51056
Colombia,48368
Taiwan,41562
United Arab Emirates,41483
Croatia,40860
Slovak Republic,39740
Chile,35765
Morocco,33811
Argentina,31545
not found,30895
Curaçao,30872
India,30799
Estonia,28778
Puerto Rico,25563
Republic of Lithuania,25058
Bosnia and Herzegovina,23947
Indonesia,22946
Cyprus,20835
Bermuda,19827
Tunisia,19303
Latvia,18767
Iceland,18109
Belarus,17946
Republic of Korea,17014
Malta,16942
Peru,16125
Algeria,15713
Malaysia,14817
Réunion,13902
Bulgaria,13515
Albania,13409
Angola,12138
Åland,12131
China,11902
Philippines,10859
Costa Rica,10509
Panama,10329
Brunei,10227
Mauritius,9837
Venezuela,9491
,9290
Egypt,8855
Saudi Arabia,8245
Guatemala,7520
Uruguay,7135
Suriname,7018
Namibia,6910
Qatar,6896
Haiti,6841
Pakistan,6649
Paraguay,6372
Martinique,6223
New Caledonia,6180
Barbados,5826
Ecuador,5801
French Polynesia,5244
Kazakhstan,5003
Fiji,4833
Bolivia,4677
Vietnam,4450
Belize,4414
Grenada,4288
Kenya,4224
Jersey,4135
Cayman Islands,4014
Jamaica,3870
Republic of Moldova,3722
Iraq,3711
French Guiana,3501
El Salvador,3494
Dominican Republic,3316
Saint-Barthélemy,3251
Saint Vincent and the Grenadines,3178
Senegal,3169
Trinidad and Tobago,3128
Zimbabwe,3069
Guernsey,3052
Guadeloupe,3029
Saint Lucia,2955
Laos,2770
British Virgin Islands,2549
Lebanon,2524
Greenland,2477
Gibraltar,2476
Oman,2412
Montenegro,2399
Bahrain,2360
Zambia,2199
Hashemite Kingdom of Jordan,2132
Tanzania,1989
Andorra,1860
Nigeria,1810
Mali,1713
Gabon,1532
Niger,1444
Mayotte,1391
Republic of the Congo,1391
Cameroon,1390
Kuwait,1273
Isle of Man,1248
Botswana,1226
Burkina Faso,1125
Cambodia,1064
Ghana,1005
Bangladesh,896
Mauritania,875
Macedonia,829
Ivory Coast,799
Bahamas,763
Libya,744
Palestine,743
Saint Kitts and Nevis,681
Macao,629
U.S. Virgin Islands,533
Georgia,478
Antigua and Barbuda,476
Madagascar,207
Guyana,178
Saint Pierre and Miquelon,151
Rwanda,140
American Samoa,136
Saint Martin,132
Monaco,119
Congo,115
Uzbekistan,91
Sri Lanka,88
Anguilla,76
"Bonaire, Sint Eustatius, and Saba",72
Uganda,52
Djibouti,37
Azerbaijan,35
Guam,35
San Marino,15
Kosovo,7
Seychelles,6
Iran,3
Syria,3
Cape Verde,3
Marshall Islands,1
Honduras,1
Ethiopia,1
